Company_Name,Year,Total_Assets,Total_Debt,Total_Equity,Revenue,Operating_Income(added),Net_Income(added),Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER
한국타이어앤테크놀로지,2020,6429887711436.0,1758596018888.0,4671291692548.0,2862380051947.0,94145794482.0,87353182275.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,3032.0,12.99
한국타이어앤테크놀로지,2021,6610994624961.0,1910830260258.0,4700164364703.0,2915221705245.0,-130053795457.0,97779429710.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,L_Turned,P_Contd,29.98,12.33,16.03,4822.0,8.23
한국타이어앤테크놀로지,2022,6769107888360.0,1831049230757.0,4938058657603.0,3471707381551.0,-25062397798.0,263413042279.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,L_Contd,P_Contd,24.19,9.77,12.14,5658.0,5.51
롯데케미칼,2017,15269369483103.0,4892088223664.0,10377281259439.0,10149509820365.0,2366584342444.0,1631224830352.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,65625.0,5.34
롯데케미칼,2018,15201889278985.0,3771331034253.0,11430558244732.0,10133832338956.0,1522808152879.0,1426278041229.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,46074.0,5.73
롯데케미칼,2019,14396226786211.0,2936897808285.0,11459328977926.0,9179765913688.0,775704397230.0,394375877936.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,20860.0,10.23
롯데케미칼,2020,15176140842307.0,3576792170552.0,11599348671755.0,9171305612089.0,206743632531.0,115572495291.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,4623.0,56.87
롯데케미칼,2021,17427438053752.0,5088453424385.0,12338984629367.0,13739086278515.0,976101130406.0,836972045970.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,38911.0,5.31
롯데케미칼,2022,18458139122099.0,6781025911804.0,11677113210295.0,16296609822524.0,-608072280207.0,-318348246843.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,L_Turned,L_Turned,24.19,9.77,12.14,1802.0,99.06
HD현대,2017,7750711883000.0,2362099569000.0,5388612314000.0,465241675000.0,282227537000.0,219486624000.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,74413.0,1.02
HD현대,2018,8150735598000.0,2625446591000.0,5525289007000.0,579338552000.0,337847947000.0,130596457000.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,18371.0,3.77
HD현대,2019,8583906445000.0,2741696853000.0,5842209592000.0,492651093000.0,247640973000.0,590858298000.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,11848.0,5.71
HD현대,2020,7727859034000.0,2195022345000.0,5532836689000.0,375932399000.0,300813982000.0,86432633000.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,-42815.0,-1.32
HD현대,2021,8113257344000.0,2470334987000.0,5642922357000.0,253751437000.0,234373280000.0,502088652000.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,-2082.0,-25.79
HD현대,2022,8675571050000.0,3127984198000.0,5547586852000.0,347229888000.0,316649815000.0,219293648000.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,19933.0,2.86
맥쿼리인프라,2017,,,,,,,,,,,,,,,,,
맥쿼리인프라,2018,,,,,,,,,,,,,,,,,
맥쿼리인프라,2019,,,,,,,,,,,,,,,,,
맥쿼리인프라,2020,,,,,,,,,,,,,,,,,
맥쿼리인프라,2021,,,,,,,,,,,,,,,,,
맥쿼리인프라,2022,,,,,,,,,,,,,,,,,
한화솔루션,2017,7483613842871.0,2785780610906.0,4697833231965.0,3965438745840.0,588389343157.0,503274751764.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,5021.0,7.61
한화솔루션,2018,7820589804467.0,2669299591397.0,5151290213070.0,3997664968775.0,353653485690.0,526941910282.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,1136.0,21.5
한화솔루션,2019,8244597143594.0,3228926059340.0,5015671084254.0,3449339121067.0,133923051481.0,-66802470455.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,L_Turned,21.54,7.1,8.63,-1459.0,-15.62
한화솔루션,2020,10626414632302.0,4902193125776.0,5724221506526.0,5717317071646.0,425003745287.0,713856040987.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Turned,25.28,6.8,8.52,1919.0,30.19
한화솔루션,2021,15310059703385.0,7467425245887.0,7842634457498.0,7395684853708.0,558108483949.0,547461607359.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,3320.0,13.34
